# xsum_section_map.tsv — pool-restricted bbc_id -> BBC editorial section
# Freeze artifact 1 of the accepted G-5 amendment (docs/AMENDMENT_G5_XSUM_SECTIONS_2026-08-05.md).
# upstream           = XSum-WebArxiveUrls-BBCids.txt
# upstream_source    = https://raw.githubusercontent.com/EdinburghNLP/XSum/master/XSum-Dataset/XSum-WebArxiveUrls-BBCids.txt
# upstream_sha256    = c882b869644e29fd76cb54f1f65c113423895faa914f4ee0def5e67aa4635725
# upstream_rows      = 226711
# normalizer         = strip fragment, then query string, then trailing [-/]\d+ from the bbc.co.uk path
# pool               = locked 40,000-row xsum training pool (val_seed=777, val_size=500, pool_cap=40000)
# rows               = 40000
# coverage           = 40000/40000
# generated_by       = scripts/granularity_labels.py --build-xsum-map
# generated_at       = 2026-08-06T00:02:34.953992+00:00
36266422	news/uk-england-lincolnshire
30358490	news/uk-england-essex
34944735	news/science-environment
32159602	news/world-europe
31723471	sport/formula1
39109408	news/uk
39805395	news/uk-wales
29347771	sport/cricket
36783415	sport/football
35550407	news/health
36418082	sport/football
26341324	news/uk-england-london
39995133	sport/fencing
35720795	news/uk-scotland-glasgow-west
30745137	news/uk-england-hampshire
26553115	news/science-environment
39038936	news/technology
35613141	sport/cricket
39088847	news/uk
39150388	news/uk-scotland
37183351	news/uk-england-cumbria
31070114	news/uk
36962388	news/world-australia
33280503	news/uk
25726782	news/uk-scotland-south-scotland
37047554	news/uk-politics
15263826	news/world-asia-pacific
37891952	sport/winter-olympics
40186158	news/uk-england-hampshire
39151664	sport/football
21935983	news/uk-wales
11130680	news/entertainment-arts
36105123	sport/judo
32349891	news/uk-england
24624736	sport/rugby-union
36928562	sport/golf
37160199	news/uk-northern-ireland
35891053	news/uk-northern-ireland
40694542	sport/football
40354149	news/uk-scotland
19347718	news/uk-england-birmingham
21870064	news/world-us-canada
32157820	news/uk-england-tyne
34665539	news/world-asia
37872111	news/science-environment
35547391	news/business
35499522	news/world-australia
37680058	news/technology
35046866	sport/football
39790523	news/uk-scotland-glasgow-west
36202526	news/uk-scotland-scotland-business
34232398	news/uk-england-york-north-yorkshire
39014883	news/uk-england-dorset
37982812	sport/football
39078849	news/uk-england-london
37371354	news/uk-england-london
29497179	news/world-asia
39209521	news/uk-scotland-tayside-central
39755647	news/uk-england-leicestershire
29332665	news/uk-wales-south-west-wales
38225963	news/uk-england-derbyshire
37713629	news/technology
37675935	news/business
35732604	news/uk
40054265	news/world-us-canada
19984615	news/uk
16490806	news/uk-england-birmingham
36396237	sport/football
34695474	sport/formula1
37330579	news/entertainment-arts
35301627	news/uk-scotland-glasgow-west
32593929	news/uk-england-london
21986185	news/world-europe
35779006	news/health
26547482	news/uk-wales-mid-wales
